Time","Strength","Firsts","Lasts","Minimum","Maximum"
"Mon Feb 13 2017 06:00:00 GMT-0500 (Eastern Standard Time)","2:20","2:07","2:28","2:03","2:33"
"Mon Feb 13 2017 06:05:00 GMT-0500 (Eastern Standard Time)","2:21","2:07","2:29","2:02","2:36"
"Mon Feb 13 2017 06:10:00 GMT-0500 (Eastern Standard Time)","2:21","2:07","2:29","2:02","2:38"
"Mon Feb 13 2017 06:15:00 GMT-0500 (Eastern Standard Time)","2:21","2:07","2:29","2:02","2:38"
"Mon Feb 13 2017 06:20:00 GMT-0500 (Eastern Standard Time)","2:21","2:07","2:29","2:02","2:38"
"Mon Feb 13 2017 06:25:00 GMT-0500 (Eastern Standard Time)","2:21","2:07","2:29","2:02","2:38"
"Mon Feb 13 2017 06:30:00 GMT-0500 (Eastern Standard Time)","2:21","2:07","2:29","2:03","2:38"
"Mon Feb 13 2017 06:35:00 GMT-0500 (Eastern Standard Time)","2:21","2:07","2:29","2:03","2:38"
"Mon Feb 13 2017 06:40:00 GMT-0500 (Eastern Standard Time)","2:21","2:07","2:29","2:03","2:38"
"Mon Feb 13 2017 06:45:00 GMT-0500 (Eastern Standard Time)","2:21","2:07","2:29","2:03","2:38"
"Mon Feb 13 2017 06:50:00 GMT-0500 (Eastern Standard Time)","2:21","2:07","2:29","2:03","2:38"
"Mon Feb 13 2017 06:55:00 GMT-0500 (Eastern Standard Time)","2:21","2:07","2:29","2:03","2:38"
"Mon Feb 13 2017 07:00:00 GMT-0500 (Eastern Standard Time)","2:22","2:08","2:29","2:06","2:38"
"Mon Feb 13 2017 07:05:00 GMT-0500 (Eastern Standard Time)","2:23","2:09","2:32","2:07","2:38"
"Mon Feb 13 2017 07:10:00 GMT-0500 (Eastern Standard Time)","2:23","2:09","2:32","2:07","2:38"
"Mon Feb 13 2017 07:15:00 GMT-0500 (Eastern Standard Time)","2:23","2:09","2:32","2:07","2:38"
"Mon Feb 13 2017 07:20:00 GMT-0500 (Eastern Standard Time)","2:23","2:09","2:32","2:07","2:38"
"Mon Feb 13 2017 07:25:00 GMT-0500 (Eastern Standard Time)","2:23","2:09","2:32","2:07","2:38"
"Mon Feb 13 2017 07:30:00 GMT-0500 (Eastern Standard Time)","2:23","2:09","2:32","2:07","2:38"
"Mon Feb 13 2017 07:35:00 GMT-0500 (Eastern Standard Time)","2:23","2:09","2:32","2:07","2:38"
"Mon Feb 13 2017 07:40:00 GMT-0500 (Eastern Standard Time)","2:25","2:10","2:32","2:08","2:43"
"Mon Feb 13 2017 07:45:00 GMT-0500 (Eastern Standard Time)","2:25","2:10","2:32","2:08","2:43"
"Mon Feb 13 2017 07:50:00 GMT-0500 (Eastern Standard Time)","2:25","2:10","2:32","2:08","2:43"
"Mon Feb 13 2017 07:55:00 GMT-0500 (Eastern Standard Time)","2:25","2:10","2:32","2:08","2:43"
"Mon Feb 13 2017 08:00:00 GMT-0500 (Eastern Standard Time)","2:25","2:10","2:32","2:08","2:43"
"Mon Feb 13 2017 08:05:00 GMT-0500 (Eastern Standard Time)","2:30","2:21","2:38","2:14","2:52"
"Mon Feb 13 2017 08:10:00 GMT-0500 (Eastern Standard Time)","2:30","2:21","2:38","2:14","2:52"
"Mon Feb 13 2017 08:15:00 GMT-0500 (Eastern Standard Time)","2:30","2:21","2:38","2:14","2:52"
"Mon Feb 13 2017 08:20:00 GMT-0500 (Eastern Standard Time)","2:30","2:21","2:38","2:14","2:52"
"Mon Feb 13 2017 08:25:00 GMT-0500 (Eastern Standard Time)","2:30","2:21","2:38","2:14","2:52"
"Mon Feb 13 2017 08:30:00 GMT-0500 (Eastern Standard Time)","2:30","2:21","2:38","2:14","2:52"
"Mon Feb 13 2017 08:35:00 GMT-0500 (Eastern Standard Time)","2:29","2:15","2:35","2:11","2:52"
"Mon Feb 13 2017 08:40:00 GMT-0500 (Eastern Standard Time)","2:30","2:21","2:50","2:15","2:53"
"Mon Feb 13 2017 08:45:00 GMT-0500 (Eastern Standard Time)","2:30","2:22","2:52","2:15","2:53"
"Mon Feb 13 2017 08:50:00 GMT-0500 (Eastern Standard Time)","2:34","2:22","2:52","2:15","2:53"
"Mon Feb 13 2017 08:55:00 GMT-0500 (Eastern Standard Time)","2:34","2:22","2:52","2:15","2:53"
"Mon Feb 13 2017 09:00:00 GMT-0500 (Eastern Standard Time)","2:34","2:22","2:52","2:15","2:53"
"Mon Feb 13 2017 09:05:00 GMT-0500 (Eastern Standard Time)","2:34","2:22","2:52","2:15","2:53"
"Mon Feb 13 2017 09:10:00 GMT-0500 (Eastern Standard Time)","2:35","2:26","2:52","2:21","2:58"
"Mon Feb 13 2017 09:15:00 GMT-0500 (Eastern Standard Time)","2:35","2:26","2:52","2:21","2:58"
"Mon Feb 13 2017 09:20:00 GMT-0500 (Eastern Standard Time)","2:35","2:26","2:52","2:21","2:53"
"Mon Feb 13 2017 09:25:00 GMT-0500 (Eastern Standard Time)","2:35","2:26","2:52","2:21","2:53"
"Mon Feb 13 2017 09:30:00 GMT-0500 (Eastern Standard Time)","2:35","2:26","2:52","2:21","2:53"
"Mon Feb 13 2017 09:35:00 GMT-0500 (Eastern Standard Time)","2:35","2:26","2:52","2:21","2:53"
"Mon Feb 13 2017 09:40:00 GMT-0500 (Eastern Standard Time)","2:35","2:26","2:52","2:21","2:53"
"Mon Feb 13 2017 09:45:00 GMT-0500 (Eastern Standard Time)","2:35","2:26","2:52","2:21","2:53"
"Mon Feb 13 2017 09:50:00 GMT-0500 (Eastern Standard Time)","2:35","2:26","2:52","2:21","2:53"
"Mon Feb 13 2017 09:55:00 GMT-0500 (Eastern Standard Time)","2:35","2:26","2:52","2:21","2:58"
