Time","Strength","Firsts","Lasts","Minimum","Maximum"
"Mon Feb 13 2017 12:35:00 GMT-0500 (Eastern Standard Time)","1:14","1:06","1:13","1:01","1:24"
"Mon Feb 13 2017 12:40:00 GMT-0500 (Eastern Standard Time)","1:15","1:06","1:12","1:02","1:23"
"Mon Feb 13 2017 12:45:00 GMT-0500 (Eastern Standard Time)","1:21","1:06","1:20","1:03","1:27"
"Mon Feb 13 2017 12:50:00 GMT-0500 (Eastern Standard Time)","1:25","1:06","1:26","1:02","1:32"
"Mon Feb 13 2017 12:55:00 GMT-0500 (Eastern Standard Time)","1:27","1:06","1:29","1:02","1:36"
"Mon Feb 13 2017 13:00:00 GMT-0500 (Eastern Standard Time)","1:29","1:07","1:30","1:03","1:39"
"Mon Feb 13 2017 13:05:00 GMT-0500 (Eastern Standard Time)","1:27","1:07","1:30","1:02","1:37"
"Mon Feb 13 2017 13:10:00 GMT-0500 (Eastern Standard Time)","1:26","1:10","1:29","1:03","1:34"
"Mon Feb 13 2017 13:15:00 GMT-0500 (Eastern Standard Time)","1:26","1:13","1:26","1:07","1:32"
"Mon Feb 13 2017 13:20:00 GMT-0500 (Eastern Standard Time)","1:29","1:18","1:30","1:10","1:37"
"Mon Feb 13 2017 13:25:00 GMT-0500 (Eastern Standard Time)","1:29","1:19","1:30","1:10","1:39"
"Mon Feb 13 2017 13:30:00 GMT-0500 (Eastern Standard Time)","1:28","1:19","1:28","1:11","1:36"
"Mon Feb 13 2017 13:35:00 GMT-0500 (Eastern Standard Time)","1:25","1:18","1:23","1:08","1:32"
"Mon Feb 13 2017 13:40:00 GMT-0500 (Eastern Standard Time)","1:22","1:20","1:23","1:07","1:32"
"Mon Feb 13 2017 13:45:00 GMT-0500 (Eastern Standard Time)","1:23","1:20","1:28","1:08","1:36"
"Mon Feb 13 2017 13:50:00 GMT-0500 (Eastern Standard Time)","1:20","1:19","1:21","1:07","1:30"
"Mon Feb 13 2017 13:55:00 GMT-0500 (Eastern Standard Time)","1:20","1:18","1:20","1:08","1:30"
"Mon Feb 13 2017 14:00:00 GMT-0500 (Eastern Standard Time)","1:20","1:19","1:21","1:09","1:30"
"Mon Feb 13 2017 14:05:00 GMT-0500 (Eastern Standard Time)","1:21","1:20","1:23","1:10","1:30"
"Mon Feb 13 2017 14:10:00 GMT-0500 (Eastern Standard Time)","1:20","1:18","1:22","1:09","1:27"
"Mon Feb 13 2017 14:15:00 GMT-0500 (Eastern Standard Time)","1:20","1:14","1:21","1:09","1:25"
